process_id,process_type,selling_wcard,selling_wcash,buyback,date,hour
16,Nakit Satış,0.0,0.0,0.0,2015-01-01,14:40:23
17,Nakit Satış,0.0,0.0,0.0,2015-01-01,14:57:06
18,Nakit Satış,0.0,0.0,0.0,2015-01-01,15:11:44
19,Nakit Satış,0.0,0.0,0.0,2015-01-01,15:17:42
20,Nakit Satış,0.0,0.0,0.0,2015-01-01,16:10:41
21,Nakit Satış,0.0,0.0,0.0,2015-01-01,16:17:01
22,Nakit Satış,0.0,0.0,0.0,2015-01-01,17:14:48
23,Nakit Satış,0.0,0.0,0.0,2015-01-01,17:45:42
24,K.Kartlı Satış,39.97,100.0,0.0,2015-01-01,17:57:44
25,Nakit Satış,0.0,0.0,0.0,2015-01-01,17:58:16
26,Nakit Satış,0.0,0.0,0.0,2015-01-01,17:59:02
27,Nakit Satış,0.0,9.99,0.0,2015-01-01,18:51:32
28,M.iade,0.0,0.0,9.99,2015-01-01,18:54:21
29,Nakit Satış,0.0,59.99,0.0,2015-01-01,19:47:25
30,Nakit Satış,0.0,64.98,0.0,2015-01-01,19:53:53
31,K.Kartlı Satış,49.99,blank,0.0,2015-01-01,20:15:45
32,K.Kartlı Satış,49.99,blank,0.0,2015-01-02,11:47:44
33,Nakit Satış,0.0,14.99,0.0,2015-01-02,11:56:04
34,K.Kartlı Satış,149.98,blank,0.0,2015-01-02,13:18:59
35,Nakit Satış,0.0,19.99,0.0,2015-01-02,13:48:24
36,Nakit Satış,0.0,49.99,0.0,2015-01-02,13:52:27
37,Nakit Satış,0.0,14.99,0.0,2015-01-02,14:08:30
38,K.Kartlı Satış,229.94,blank,0.0,2015-01-02,14:53:07
39,Nakit Satış,0.0,19.99,0.0,2015-01-02,14:57:58
40,Nakit Satış,0.0,24.98,0.0,2015-01-02,15:18:16
41,Nakit Satış,0.0,9.99,0.0,2015-01-02,15:18:43
42,Nakit Satış,0.0,19.99,0.0,2015-01-02,15:20:28
43,Nakit Satış,0.0,59.99,0.0,2015-01-02,15:22:29
44,Nakit Satış,0.0,99.96,0.0,2015-01-02,15:33:17
45,Nakit Satış,0.0,34.99,0.0,2015-01-02,15:51:54
46,K.Kartlı Satış,69.98,blank,0.0,2015-01-02,15:56:19
47,Nakit Satış,0.0,35.0,0.0,2015-01-02,15:57:44
48,K.Kartlı Satış,59.98,blank,0.0,2015-01-02,15:58:48
49,Nakit Satış,0.0,74.99,0.0,2015-01-02,16:08:56
50,Nakit Satış,0.0,32.98,0.0,2015-01-02,16:11:52
51,Nakit Satış,0.0,4.99,0.0,2015-01-02,16:40:26
52,K.Kartlı Satış,84.97,blank,0.0,2015-01-02,16:42:11
53,Nakit Satış,0.0,49.98,0.0,2015-01-02,16:42:43
54,K.Kartlı Satış,19.99,blank,0.0,2015-01-02,16:52:32
55,Nakit Satış,0.0,4.99,0.0,2015-01-02,17:15:44
56,K.Kartlı Satış,39.99,blank,0.0,2015-01-02,17:16:46
57,Nakit Satış,0.0,59.98,0.0,2015-01-02,17:19:21
58,K.Kartlı Satış,32.99,blank,0.0,2015-01-02,17:34:28
59,Nakit Satış,0.0,9.99,0.0,2015-01-02,17:36:29
60,Nakit Satış,0.0,14.99,0.0,2015-01-02,17:40:43
61,Nakit Satış,0.0,54.97,0.0,2015-01-02,18:19:21
62,Nakit Satış,0.0,9.99,0.0,2015-01-02,18:31:30
63,Nakit Satış,0.0,19.98,0.0,2015-01-02,18:33:20
64,K.Kartlı Satış,161.95,blank,0.0,2015-01-02,19:05:40
65,K.Kartlı Satış,29.99,blank,0.0,2015-01-02,19:09:09
66,Nakit Satış,0.0,19.99,0.0,2015-01-02,19:10:34
67,K.Kartlı Satış,49.99,blank,0.0,2015-01-02,19:17:32
68,Nakit Satış,0.0,59.99,0.0,2015-01-02,19:43:47
69,K.Kartlı Satış,50.0,blank,0.0,2015-01-02,20:07:06
70,Nakit Satış,0.0,19.99,0.0,2015-01-02,20:10:50
71,K.Kartlı Satış,14.99,blank,0.0,2015-01-03,10:32:11
72,K.Kartlı Satış,59.98,blank,0.0,2015-01-03,11:00:08
73,Nakit Satış,0.0,9.99,0.0,2015-01-03,11:44:43
74,K.Kartlı Satış,64.99,blank,0.0,2015-01-03,12:33:33
75,Nakit Satış,0.0,32.99,0.0,2015-01-03,12:34:06
76,Nakit Satış,0.0,19.99,0.0,2015-01-03,12:50:39
77,K.Kartlı Satış,49.99,blank,0.0,2015-01-03,12:52:57
78,Nakit Satış,0.0,14.99,0.0,2015-01-03,13:09:13
79,Nakit Satış,0.0,14.99,0.0,2015-01-03,14:19:51
80,Nakit Satış,0.0,14.99,0.0,2015-01-03,14:22:44
81,Nakit Satış,0.0,59.98,0.0,2015-01-03,14:23:59
82,Nakit Satış,0.0,19.99,0.0,2015-01-03,14:50:13
83,K.Kartlı Satış,59.99,blank,0.0,2015-01-03,14:58:11
84,Nakit Satış,0.0,19.99,0.0,2015-01-03,15:05:45
85,K.Kartlı Satış,14.99,blank,0.0,2015-01-03,15:19:13
86,K.Kartlı Satış,19.99,blank,0.0,2015-01-03,15:32:32
87,K.Kartlı Satış,99.98,blank,0.0,2015-01-03,15:39:20
88,Nakit Satış,0.0,19.99,0.0,2015-01-03,15:56:26
89,Nakit Satış,0.0,44.99,0.0,2015-01-03,16:19:30
90,K.Kartlı Satış,21.98,blank,0.0,2015-01-03,16:51:31
91,Nakit Satış,0.0,19.99,0.0,2015-01-03,17:00:53
92,Nakit Satış,0.0,29.99,0.0,2015-01-03,17:01:20
93,Nakit Satış,0.0,4.99,0.0,2015-01-03,17:02:52
94,Nakit Satış,0.0,9.98,0.0,2015-01-03,17:03:18
95,Nakit Satış,0.0,19.99,0.0,2015-01-03,17:03:48
96,Nakit Satış,0.0,59.99,0.0,2015-01-03,17:17:50
97,K.Kartlı Satış,39.99,blank,0.0,2015-01-03,17:39:41
98,Nakit Satış,0.0,29.98,0.0,2015-01-03,17:46:09
99,Nakit Satış,0.0,64.98,0.0,2015-01-03,18:04:41
100,Nakit Satış,0.0,9.99,0.0,2015-01-03,18:29:04
101,K.Kartlı Satış,54.98,blank,0.0,2015-01-03,19:30:17
102,Nakit Satış,0.0,29.99,0.0,2015-01-03,19:46:50
103,Nakit Satış,0.0,14.99,0.0,2015-01-03,19:49:15
104,Nakit Satış,0.0,29.99,0.0,2015-01-04,10:37:36
105,M.iade,-29.99,0.0,0.0,2015-01-04,11:13:49
106,K.Kartlı Satış,44.98,blank,0.0,2015-01-04,11:15:10
107,K.Kartlı Satış,19.99,blank,0.0,2015-01-04,12:17:01
108,Nakit Satış,0.0,9.99,0.0,2015-01-04,12:18:31
109,Nakit Satış,0.0,4.99,0.0,2015-01-04,13:02:07
110,Nakit Satış,0.0,19.99,0.0,2015-01-04,13:07:34
111,K.Kartlı Satış,134.96,blank,0.0,2015-01-04,13:29:04
112,Nakit Satış,0.0,14.99,0.0,2015-01-04,13:31:35
113,Nakit Satış,0.0,14.99,0.0,2015-01-04,13:39:01
114,Nakit Satış,0.0,29.99,0.0,2015-01-04,13:47:30
115,K.Kartlı Satış,39.98,blank,0.0,2015-01-04,14:15:45
116,Nakit Satış,0.0,44.99,0.0,2015-01-04,14:34:34
117,K.Kartlı Satış,39.98,blank,0.0,2015-01-04,14:37:55
118,Nakit Satış,0.0,79.99,0.0,2015-01-04,14:38:54
119,Nakit Satış,0.0,44.98,0.0,2015-01-04,14:50:51
120,Nakit Satış,0.0,19.99,0.0,2015-01-04,14:58:19
121,Nakit Satış,0.0,19.98,0.0,2015-01-04,15:43:39
122,Nakit Satış,0.0,24.99,0.0,2015-01-04,15:54:04
123,Nakit Satış,0.0,39.98,0.0,2015-01-04,16:00:42
124,Nakit Satış,0.0,44.99,0.0,2015-01-04,16:01:51
125,Nakit Satış,0.0,14.99,0.0,2015-01-04,16:06:14
126,Nakit Satış,0.0,14.99,0.0,2015-01-04,16:16:40
127,Nakit Satış,0.0,19.99,0.0,2015-01-04,16:17:06
128,Nakit Satış,0.0,74.98,0.0,2015-01-04,16:23:42
129,Nakit Satış,0.0,104.96,0.0,2015-01-04,16:29:08
130,Nakit Satış,0.0,213.98,0.0,2015-01-04,16:38:56
131,Nakit Satış,0.0,14.99,0.0,2015-01-04,16:56:58
132,Nakit Satış,0.0,19.99,0.0,2015-01-04,16:57:59
133,K.Kartlı Satış,29.99,blank,0.0,2015-01-04,17:04:25
134,K.Kartlı Satış,74.99,blank,0.0,2015-01-04,17:30:05
135,Nakit Satış,0.0,6.99,0.0,2015-01-04,17:30:55
136,Nakit Satış,0.0,49.99,0.0,2015-01-04,18:44:20
137,Nakit Satış,0.0,14.99,0.0,2015-01-04,18:44:38
138,K.Kartlı Satış,34.99,blank,0.0,2015-01-04,18:50:23
139,Nakit Satış,0.0,14.99,0.0,2015-01-04,18:52:31
140,Nakit Satış,0.0,6.0,0.0,2015-01-04,19:11:07
141,Nakit Satış,0.0,249.94,0.0,2015-01-04,19:32:50
142,Nakit Satış,0.0,62.99,0.0,2015-01-04,19:56:49
143,Nakit Satış,0.0,69.97,0.0,2015-01-05,10:18:22
144,Nakit Satış,0.0,9.99,0.0,2015-01-05,10:24:18
145,Nakit Satış,0.0,104.97,0.0,2015-01-05,10:38:09
146,K.Kartlı Satış,49.97,blank,0.0,2015-01-05,12:37:08
147,Nakit Satış,0.0,19.99,0.0,2015-01-05,13:27:14
148,Nakit Satış,0.0,54.99,0.0,2015-01-05,13:43:31
149,Nakit Satış,0.0,35.0,0.0,2015-01-05,14:11:50
150,Nakit Satış,0.0,19.98,0.0,2015-01-05,14:24:27
151,Nakit Satış,0.0,69.99,0.0,2015-01-05,14:35:03
152,K.Kartlı Satış,34.99,blank,0.0,2015-01-05,14:37:41
153,K.Kartlı Satış,359.91,blank,0.0,2015-01-05,14:41:56
154,Nakit Satış,0.0,69.9,0.0,2015-01-05,14:44:37
155,Nakit Satış,0.0,4.99,0.0,2015-01-05,14:46:02
156,Nakit Satış,0.0,84.99,0.0,2015-01-05,14:47:34
157,Nakit Satış,0.0,9.99,0.0,2015-01-05,14:56:52
158,K.Kartlı Satış,44.99,blank,0.0,2015-01-05,15:46:38
159,Nakit Satış,0.0,134.94,0.0,2015-01-05,15:49:08
160,K.Kartlı Satış,14.99,blank,0.0,2015-01-05,16:03:14
161,K.Kartlı Satış,74.98,blank,0.0,2015-01-05,16:08:10
162,Nakit Satış,0.0,29.99,0.0,2015-01-05,16:13:54
163,Nakit Satış,0.0,3.0,0.0,2015-01-05,16:14:10
164,Nakit Satış,0.0,49.98,0.0,2015-01-05,16:18:50
165,Nakit Satış,0.0,94.98,0.0,2015-01-05,16:27:57
166,Nakit Satış,0.0,19.99,0.0,2015-01-05,16:46:50
167,K.Kartlı Satış,34.99,blank,0.0,2015-01-05,17:01:24
168,Nakit Satış,0.0,29.99,0.0,2015-01-05,17:01:59
169,Nakit Satış,0.0,39.99,0.0,2015-01-05,17:06:10
170,K.Kartlı Satış,59.98,blank,0.0,2015-01-05,17:31:30
171,K.Kartlı Satış,54.98,blank,0.0,2015-01-05,18:01:08
172,K.Kartlı Satış,179.97,blank,0.0,2015-01-05,18:06:50
173,K.Kartlı Satış,29.99,blank,0.0,2015-01-05,18:11:49
174,M.iade,0.0,0.0,9.99,2015-01-05,18:35:56
175,Nakit Satış,0.0,10.99,0.0,2015-01-05,18:36:25
176,Nakit Satış,0.0,19.99,0.0,2015-01-06,12:27:37
177,K.Kartlı Satış,29.99,blank,0.0,2015-01-06,12:52:24
178,Nakit Satış,0.0,29.99,0.0,2015-01-06,13:03:37
179,Nakit Satış,0.0,4.99,0.0,2015-01-06,13:06:31
180,Nakit Satış,0.0,54.98,0.0,2015-01-06,13:20:45
181,Nakit Satış,0.0,74.99,0.0,2015-01-06,13:23:46
182,Nakit Satış,0.0,49.99,0.0,2015-01-06,13:24:05
183,Nakit Satış,0.0,29.99,0.0,2015-01-06,14:31:57
184,Nakit Satış,0.0,29.99,0.0,2015-01-06,14:39:14
185,K.Kartlı Satış,64.98,blank,0.0,2015-01-06,15:00:44
186,K.Kartlı Satış,19.99,blank,0.0,2015-01-06,15:50:14
187,Nakit Satış,0.0,129.99,0.0,2015-01-06,16:02:05
188,Nakit Satış,0.0,9.99,0.0,2015-01-06,16:05:49
