product_id,barcode,product_name,type,purchase_price,selling_price,selling_wcard
1,878,Dkjksadjka,,4.0,4.0,4.0
2,10000001,Bluz Taşlı 347,Bluz,20.0,35.99,40.0
3,10000002,Etek,Etek,4.0,14.0,16.0
4,10000003,Büstıyer,Bluz,10.0,15.0,17.0
5,10000003,Büstıyer,Bluz,10.0,20.0,25.0
6,10000004,Basic Bluz Taş Yıkama,Bluz,8.5,14.99,17.99
7,10000005,Basic Badi Taş Yıkama,Bluz,8.5,14.99,17.99
8,10000006,Omuz Pullu,Bluz,10.0,14.99,17.99
9,10000005,Basic Badi Taş Yıkama,Bluz,8.5,14.99,17.99
10,10000007,Kapşonlu H.,Hırka,10.0,19.99,22.99
11,10000008,Klasik H.,Hırka,10.0,19.99,22.99
12,10000009,Kürklü H.,Hırka,10.0,19.99,0.0
13,10000009,Kürklü H.,Hırka,10.0,19.99,24.99
14,10000010,V Yaka Basic,Bluz,4.5,9.99,12.99
15,10000011,U Yaka Basic,Bluz,4.99,9.99,12.99
16,10000012,Kolyeli Basic,Bluz,10.0,19.99,22.99
17,10000013,Prada Kumaş,Pantolon,35.0,64.99,69.99
18,10000014,Prada C.,Ceket,60.0,110.0,115.0
19,10000015,Nakıslı C.,Ceket,48.0,99.0,105.0
20,10000016,Nakışlı P.,Pantolon,32.0,69.99,75.0
21,10000017,Bl 1649,Gömlek,25.0,45.0,49.99
22,10000018,Bl 1952,Gömlek,25.0,45.0,49.99
23,10000019,Bl 1714,Gömlek,26.0,50.0,55.0
24,10000020,Bl 1946,Gömlek,25.0,50.0,55.0
25,10000021,C334,Ceket,50.0,99.99,104.99
26,10000022,C241,Mont,30.0,79.99,84.99
27,10000023,Kürklü M.,Mont,35.0,69.99,74.99
28,10000024,Taşlı M,Mont,40.0,79.99,84.99
29,10000025,Gömlek,Gömlek,17.0,34.99,39.99
30,10000026,Kaz Ayağı P.,Pantolon,25.0,45.0,50.0
31,10000027,Balık Sırtı P.,Pantolon,25.0,45.0,50.0
32,10000028,4523  Kabartmalı Sweat,Sweat,20.0,35.0,40.0
33,10000029,4561 Badi Opücük Yaka,Bluz,10.0,19.99,24.99
34,10000030,Sweat,Sweat,20.0,35.0,40.0
35,10000031,Yırtık,Bluz,16.0,29.99,34.99
36,10000032,Kol Tül,Bluz,16.0,29.99,34.99
37,10000033,Sırt Tül B,Bluz,20.0,35.0,40.0
38,10000034,Kolyeli B,Bluz,20.0,35.0,40.0
39,10000035,Kol Zin.B,,20.0,35.0,40.0
40,10000036,Kamuflaj B,Bluz,20.0,35.0,40.0
41,10000037,P. Payet,Pantolon,30.0,59.99,64.99
42,10000038,Derili H.,Hırka,28.0,44.99,49.99
43,10000039,Bl 1271,Bluz,22.5,39.99,44.99
44,10000039,Bl 1271,Bluz,22.5,39.99,44.99
45,10000040,Deri Y.,Yelek,38.0,69.99,74.99
46,10000041,Kumaş P.,Pantolon,25.0,49.99,54.99
47,10000042,Süet Y.,Yelek,20.0,45.0,50.0
48,10000043,Tayt,Tayt,12.0,24.99,29.99
49,10000044,Etek,Etek,13.5,29.99,34.99
50,10000045,Tav.Tüy K.,Kazak,15.0,29.99,34.99
51,10000046,Büyük Bed. P.,Pantolon,27.0,49.99,54.99
52,10000047,Büyük Beden Kumaş,Pantolon,28.0,55.0,60.0
53,10000048,Büyük Bed. Bl,Bluz,20.0,39.99,44.99
54,10000049,Sweat,Sweat,10.0,19.99,24.99
55,10000050,Omuz Yır. E,Elbise,22.0,39.99,44.99
56,10000051,Kumaş Yel,Yelek,30.0,59.99,64.99
57,10000051,Kumaş Yel,Yelek,30.0,59.99,64.99
58,10000051,Kumaş Yel,Yelek,30.0,59.99,64.99
59,10000051,Kumaş Yel,Yelek,30.0,59.99,64.99
60,10000052,Basic Deri Bl,Bluz,12.0,24.99,29.99
61,10000053,Payetli El,Elbise,48.0,99.99,104.99
62,10000053,Payetli El,Elbise,48.0,99.99,104.99
63,10000053,Payetli El,Elbise,48.0,99.99,104.99
64,10000053,Payetli El,Elbise,48.0,99.99,104.99
65,10000052,Basic Deri Bl,Bluz,12.0,24.99,29.99
66,10000054,Mavi Etek,Etek,20.0,39.99,44.99
67,10000055,Mavi Ceket ,Ceket,40.0,79.99,84.99
68,10000056,Bordo Etek,Etek,20.0,39.99,44.99
69,10000057,Siyah El,Elbise,25.0,49.99,54.99
70,10000058,Siyah El,Elbise,25.0,55.0,60.0
71,10000059,Püsküllü Ceket,Ceket,25.0,39.99,44.99
72,10000060,Kısa Bluz,Bluz,20.0,34.99,39.99
73,10000061,Kırmızı El.,Elbise,27.5,59.99,64.99
74,10000061,Kırmızı El.,Elbise,27.5,59.99,64.99
75,10000062,Leoparlı El,Elbise,20.0,49.99,54.99
76,10000063,Mavi Pant,Pantolon,20.0,44.99,49.99
77,10000063,Mavi Pant,Pantolon,20.0,44.99,49.99
78,10000063,Mavi Pant,Pantolon,20.0,44.99,49.99
79,10000064,Fermuarlı Kaban,Kaban,65.0,119.99,124.99
80,10000065,Deri Etek Valonlu,Etek,10.0,29.99,34.99
81,10000066,Bordo Triko,Kazak,25.0,49.99,54.99
82,10000067,Triko Laci,Kazak,22.0,44.99,49.99
83,10000068,Triko Siyah,Kazak,23.0,44.99,49.99
84,10000069,Tunik Taş,Kazak,25.0,49.99,54.99
85,10000070,Triko Ekru,Kazak,23.0,44.99,54.99
86,10000071,Hırka,Hırka,36.0,69.99,74.99
87,10000072,Triko Muhtelif,Kazak,30.0,59.99,64.99
88,10000073,Etek,Etek,13.0,29.99,34.99
89,10000074,Tunik,Kazak,25.0,49.99,54.99
90,10000075,Hırka,Hırka,20.0,39.99,44.99
91,10000076,Kısa Mont,Mont,18.0,39.99,44.99
92,10000077,Uzun Kurklu Kaban,Mont,28.0,59.99,64.99
93,10000078,Elbise,Elbise,18.0,39.99,44.99
94,10000079,Kısa Kazak,Kazak,12.0,24.99,29.99
95,10000080,Yarasa V Yaka ,Bluz,7.0,14.99,19.99
96,10000081,Çiçekli Kadife El.,Elbise,15.0,29.99,34.99
97,10000081,Çiçekli Kadife El.,Elbise,15.0,29.99,34.99
98,10000082,Çiçekli Et,Etek,11.0,24.99,29.99
99,10000083,24106 Bluz,Bluz,23.98,44.99,49.99
100,10000084,24106 Ekru Bluz,Bluz,23.95,44.99,49.99
101,10000084,24106 Ekru Bluz,Bluz,23.95,44.99,49.99
102,10000084,24106 Ekru Bluz,Bluz,23.95,44.99,49.99
103,10000085,Bordo Pant,Pantolon,23.98,49.99,54.99
104,10000086,44165 Kemerli şalvar Pant,Pantolon,27.98,55.0,60.0
105,10000086,44165 Kemerli şalvar Pant,Pantolon,27.98,55.0,60.0
106,10000085,Bordo Pant,Pantolon,23.98,49.99,54.99
107,10000079,Kısa Kazak,Kazak,12.0,24.99,29.99
108,10000087,Bordo Yelek,Yelek,27.98,59.99,64.99
109,10000088,85118 Laci Cek.,Ceket,39.98,79.99,84.99
110,10000089,Hakı Pant,Pantolon,25.0,54.99,59.99
111,10000090,3411 Siyah Cek,Ceket,40.0,89.99,94.99
112,10000091,3373 Haki Cek,Ceket,35.0,74.99,79.99
113,10000092,00314 Siyah Yelek,Yelek,35.0,69.99,74.99
114,10000093,3408 Siyah Ceket,Ceket,45.0,89.99,94.99
115,10000094,Duz Badi 19327-29,Body,4.5,9.99,14.99
116,10000089,Hakı Pant,Pantolon,25.0,54.99,59.99
117,10000095,Shanel Des.99015,Kazak,17.0,29.99,34.99
118,10000096,3845 Etek,Etek,15.0,29.99,34.99
119,10000097,1711 Pant ,Pantolon,18.0,44.99,49.99
120,10000098,20583 Gömlek,Gömlek,15.0,29.99,34.99
121,10000099,20566 Kısa Gömlek Mavi,Gömlek,15.0,29.99,34.99
122,10000100,20574 Hardal Gömlek ,Gömlek,23.0,44.99,49.99
123,10000101,30304 Nakışlı Klasik,Gömlek,16.0,34.99,39.99
124,10000102,30304 Nakışlı Klasik ,Gömlek,16.0,34.99,39.99
125,10000103,Kadife Elbise,Elbise,10.0,29.99,34.99
126,10000104,30922 Nakışlı Bl,Bluz,38.0,69.99,74.99
127,10000105,30752 Deri Bordo Bl,Bluz,11.0,34.99,39.99
128,10000106,30804 Haki Valonlu Bl,Bluz,34.0,69.99,74.99
129,10000107,40463 Haki Elbise ,Elbise,22.0,49.99,54.99
130,10000108,Beyaz Kürk,Mont,50.0,109.99,114.99
131,10000109,Beyaz Kürk,Mont,50.0,109.99,114.99
132,10000110,Puskullü Büs,Büstiyer,16.0,29.99,34.99
133,10000111,Uzun Kırmızı ,Kazak,19.0,44.99,49.99
134,10000112,Berchca Etek,Etek,8.0,19.99,24.99
135,10000113,Mavi El.,Elbise,24.0,49.99,54.99
136,10000114,Yanlar Açık Büs,Büstiyer,14.0,29.99,34.99
137,10000115,Etek 3051,Etek,8.0,19.99,24.99
138,10000116,1402233 Orgü Etek,Etek,13.0,29.99,34.99
139,10000117,4572 Degaje El,Elbise,20.0,34.99,39.99
140,10000118,3014 Degaf-je Yaka Çiçekli,Kazak,20.0,34.99,39.99
141,10000119,3027 Zebra Desen,Kazak,20.0,39.99,44.99
142,10000120,4509 Duz Kazak,Kazak,13.0,29.99,34.99
143,10000121,4576 Metal Apoletli Tunik,Kazak,25.0,49.99,54.99
144,10000122,Ekoseli Panço,Hırka,30.0,59.99,64.99
145,10000123,Jakar Etek,Etek,16.0,34.99,39.99
146,10000124,Jakar Kısa Bl,Bluz,16.0,34.99,39.99
147,10000125,Büstiyer,Büstiyer,11.0,29.99,34.99
148,10000126,Etek Siyah,Etek,11.0,29.99,34.99
149,10000127,Büstiyer Deri,Büstiyer,16.0,34.99,39.99
150,10000128,Deri El,Elbise,25.0,49.99,54.99
151,10000129,Kırmızı Etek,Etek,20.0,39.99,44.99
152,10000129,Kırmızı Etek,Etek,20.0,39.99,44.99
