product_id,barcode,product_name,type,purchase_price,selling_price,price_without_taxes,selling_wcard,date,hour
5146,10005349,Simli Tayt,Tayt,25.0,49.95,25.0,54.95,2018-03-14,20:13:11
5147,10005350,20604 ınce Trench,TRENÇKOT,41.04,79.95,38.0,84.95,2018-03-14,20:26:55
5148,10005351,21796 Siyah Trench Düğmeli,TRENÇKOT,81.0,154.95,75.0,159.95,2018-03-14,20:28:50
18,10000017,Bl 1649,Gömlek,25.0,34.9,25.0,39.9,2014-12-30,14:36:13
19,10000018,Bl 1952,Gömlek,25.0,45.0,25.0,49.99,2014-12-30,14:41:18
20,10000019,Bl 1714,Gömlek,26.0,50.0,26.0,55.0,2014-12-30,14:44:33
21,10000020,Bl 1946,Gömlek,25.0,50.0,25.0,55.0,2014-12-30,14:48:49
22,10000021,C334,Ceket,50.0,99.99,50.0,104.99,2014-12-30,14:50:21
24,10000023,Kürklü M.,Mont,35.0,69.99,35.0,74.99,2014-12-30,16:57:12
26,10000025,Gömlek,Gömlek,17.0,34.99,17.0,39.99,2014-12-30,17:01:39
1555,10001595,Atex Tül Elbise,Elbise,21.0,44.99,21.0,49.99,2015-09-16,23:08:26
27,10000026,Kaz Ayağı P.,Pantolon,25.0,45.0,25.0,50.0,2014-12-30,17:02:42
28,10000027,Balık Sırtı P.,Pantolon,25.0,45.0,25.0,50.0,2014-12-30,17:04:04
29,10000028,4523  Kabartmalı Sweat,Sweat,20.0,35.0,20.0,40.0,2014-12-30,17:05:54
31,10000030,Sweat,Sweat,20.0,35.0,20.0,40.0,2014-12-30,17:11:59
32,10000031,Yırtık,Bluz,16.0,29.99,16.0,34.99,2014-12-30,17:16:04
33,10000032,Kol Tül,Bluz,16.0,29.99,16.0,34.99,2014-12-30,17:17:40
34,10000033,Sırt Tül B,Bluz,20.0,35.0,20.0,40.0,2014-12-30,17:21:42
35,10000034,Kolyeli B,Bluz,20.0,35.0,20.0,40.0,2014-12-30,17:23:26
710,10000724,Tasarım Uzun Gömlek,Gömlek,18.0,34.99,18.0,39.99,2015-03-18,13:21:10
36,10000035,Kol Zin.B,,20.0,35.0,20.0,40.0,2014-12-30,17:24:43
37,10000036,Kamuflaj B,Bluz,20.0,35.0,20.0,40.0,2014-12-30,17:26:50
423,10000433,9156 KISA GÖMLEK,Gömlek,23.0,44.99,23.0,49.99,2015-02-06,22:50:58
39,10000038,Derili H.,Hırka,28.0,44.99,28.0,49.99,2014-12-30,17:31:48
40,10000039,Bl 1271,Bluz,22.5,39.99,22.5,44.99,2014-12-30,17:33:33
41,10000040,Deri Y.,Yelek,38.0,69.99,38.0,74.99,2014-12-30,17:37:18
42,10000041,Kumaş P.,Pantolon,25.0,49.99,25.0,54.99,2014-12-30,17:39:16
43,10000042,Süet Y.,Yelek,20.0,45.0,20.0,50.0,2014-12-30,17:41:05
44,10000043,Tayt,Tayt,12.0,24.99,12.0,29.99,2014-12-30,17:43:53
45,10000044,Etek,Etek,13.5,29.99,13.5,34.99,2014-12-30,17:45:45
46,10000045,Tav.Tüy K.,Kazak,15.0,29.99,15.0,34.99,2014-12-30,17:48:35
47,10000046,Büyük Bed. P.,Pantolon,27.0,49.99,27.0,54.99,2014-12-30,17:55:22
5067,10005269,Bluz,Bluz,35.0,69.95,35.0,74.95,2018-02-28,15:19:11
49,10000048,Büyük Bed. Bl,Bluz,20.0,39.99,20.0,44.99,2014-12-30,17:57:58
51,10000050,Omuz Yır. E,Elbise,22.0,39.99,22.0,44.99,2014-12-30,18:08:45
5144,10005347,2898 Gömlek,Gömlek,28.0,54.95,28.0,59.95,2018-03-14,20:10:06
53,10000052,Basic Deri Bl,Bluz,12.0,24.99,12.0,29.99,2014-12-30,18:21:11
422,10000432,4602 KOLLARI DERıLı BLUZ,Bluz,16.0,24.99,16.0,29.99,2015-02-06,22:45:31
55,10000054,Mavi Etek,Etek,20.0,39.99,20.0,44.99,2014-12-30,18:41:36
57,10000056,Bordo Etek,Etek,20.0,39.99,20.0,44.99,2014-12-30,18:43:11
58,10000057,Siyah El,Elbise,25.0,49.99,25.0,54.99,2014-12-30,18:47:04
59,10000058,Siyah El,Elbise,25.0,29.9,25.0,34.9,2014-12-30,18:54:10
60,10000059,Püsküllü Ceket,Ceket,25.0,39.99,25.0,44.99,2014-12-30,18:55:22
61,10000060,Kısa Bluz,Bluz,20.0,34.99,20.0,39.99,2014-12-30,18:56:10
62,10000061,Kırmızı El.,Elbise,27.5,34.9,27.5,39.9,2014-12-30,18:57:07
63,10000062,Leoparlı El,Elbise,20.0,29.9,20.0,34.9,2014-12-30,18:58:37
64,10000063,Mavi Pant,Pantolon,20.0,44.99,20.0,49.99,2014-12-30,19:01:11
355,10000362,Yıldızlı Leopar Ck,Ceket,15.0,24.9,15.0,27.5,2015-01-23,19:35:55
66,10000065,Deri Etek Valonlu,Etek,10.0,29.99,10.0,34.99,2014-12-30,19:07:09
67,10000066,Bordo Triko,Kazak,25.0,49.99,25.0,54.99,2014-12-30,19:16:38
68,10000067,Triko Laci,Kazak,22.0,44.99,22.0,49.99,2014-12-30,19:17:46
69,10000068,Triko Siyah,Kazak,23.0,44.99,23.0,49.99,2014-12-30,19:19:02
71,10000070,Triko Ekru,Kazak,23.0,44.99,23.0,54.99,2014-12-30,19:22:53
5145,10005348,2962 Gömlek,Gömlek,34.0,69.95,34.0,74.95,2018-03-14,20:11:49
74,10000073,Etek,Etek,13.0,29.99,13.0,34.99,2014-12-30,19:36:53
75,10000074,Tunik,Kazak,25.0,49.99,25.0,54.99,2014-12-30,19:37:43
76,10000075,Hırka,Hırka,20.0,39.99,20.0,44.99,2014-12-30,19:38:45
77,10000076,Kısa Mont,Mont,18.0,39.99,18.0,44.99,2014-12-30,19:42:47
5149,10005352,22481 Piseli Simli Etek,Etek,21.6,39.95,20.0,44.95,2018-03-14,20:30:01
79,10000078,Elbise,Elbise,18.0,39.99,18.0,44.99,2014-12-30,19:45:06
80,10000079,Kısa Kazak,Kazak,12.0,24.99,12.0,29.99,2014-12-30,19:50:10
82,10000081,Çiçekli Kadife El.,Elbise,15.0,29.99,15.0,34.99,2014-12-30,19:55:17
